date,clicks,bookings,total,booking_rate,bookings_mad_z,bookings_is_anomaly,total_mad_z,total_is_anomaly
2013-01-07,31351,3002,34353,0.08738683666637558,0.364925486282982,False,0.619366425457987,False
2013-01-08,32481,3152,35633,0.0884573288805321,0.6744907594765952,False,0.8619221209323922,False
2013-01-09,31779,3019,34798,0.08675785964710615,0.2431223128906368,False,0.6228456511149981,False
2013-01-10,29535,2810,32345,0.0868758695316123,-0.3067366290040262,False,0.0,False
2013-01-11,27295,2737,30032,0.09113612147043154,-0.5255772151765677,False,-0.5355484204247506,False
2013-01-12,24918,2020,26938,0.07498700720172248,-3.180009065454751,False,-1.3071123598918883,False
2013-01-13,28854,2361,31215,0.07563671311869294,-1.6800951645144282,False,0.05319728374951389,False
2013-01-14,32842,3126,35968,0.0869105871886121,1.0422448899491643,False,1.2459598055935706,False
2013-01-15,31331,3231,34562,0.09348417336959666,1.4698642784438012,False,0.7880433620404973,False
2013-01-16,31308,3147,34455,0.0913365259033522,1.2480881643500432,False,0.7855090244181644,False
2013-01-17,27270,2871,30141,0.095252314123619,0.1041823276954528,False,-0.30424833564988174,False
2013-01-18,24490,2700,27190,0.09930121368150055,-0.5380978912167852,False,-1.0379756478276794,False
2013-01-19,22415,1977,24392,0.08105116431616924,-3.0590086907820018,False,-1.6523006369994897,False
2013-01-20,28289,2417,30706,0.07871425779977854,-1.3697350807832396,False,-0.08787093127077476,False
2013-01-21,30165,2992,33157,0.09023735561118316,0.6094897726434315,False,0.5065600915904934,False
2013-01-22,29821,3016,32837,0.09184761092669855,0.6703930027361542,False,0.4660220554811105,False
2013-01-23,27935,2903,30838,0.0941371035735132,0.29995579340028417,False,0.09354292590649893,False
2013-01-24,27080,2745,29825,0.0920368818105616,-0.20669878112992432,False,-0.058048159816728534,False
2013-01-25,24376,2606,26982,0.09658290712326736,-0.5377276561725851,False,-0.6224687253301348,False
2013-01-26,23849,2043,25892,0.07890468098254287,-2.001714511995057,False,-0.5525426611576336,False
2013-01-27,29409,2438,31847,0.0765535215247904,-0.9274247942803183,False,0.7413071881757742,False
2013-01-28,29088,2813,31901,0.08817905394815209,0.09247050734759772,False,0.71690060051173,False
2013-01-29,28459,2950,31409,0.09392212423190806,0.4650722575423297,False,0.6129621607145379,False
2013-01-30,28110,2974,31084,0.09567623214515507,0.5520491000962688,False,0.5162113298058659,False
2013-01-31,19830,2844,22674,0.1254300079386081,0.20203640260819672,False,-1.109521845726251,False
2013-02-01,15611,2572,18183,0.14145080569762966,-0.643408235998411,False,-1.8793495084633731,False
2013-02-02,16352,2065,18417,0.1121246674268339,-2.2503746998205294,False,-2.0906909476127344,False
2013-02-03,19243,2204,21447,0.10276495547162773,-1.8183276234737704,False,-1.4998811032805368,False
2013-02-04,19900,3016,22916,0.13161110141385932,0.7055732829547793,False,-1.2023354799558765,False
2013-02-05,19666,3068,22734,0.1349520541919592,0.8672024050413366,False,-1.2257639882601543,False
2013-02-06,19338,3213,22551,0.14247705201543168,1.2156602848802396,False,-1.2624287169053992,False
2013-02-07,21767,2631,24398,0.10783670792687926,-0.43765724844887904,False,-0.892375417409403,False
2013-02-08,24296,2549,26845,0.09495250512199664,-0.7451253153971422,False,-0.40210989284703,False
2013-02-09,25051,2130,27181,0.07836356278282623,-1.8825543307095234,False,-0.31782137725354687,False
2013-02-10,30135,2416,32551,0.07422199010783079,-1.0999808734669017,False,0.6687057945065468,False
2013-02-11,32653,3170,35823,0.08849063450855596,0.9631673319909189,False,1.2602184626940085,False
2013-02-12,31260,3083,34343,0.08977084121946248,0.6826995719651542,False,0.9926638328292642,False
2013-02-13,30452,2957,33409,0.08850908437846089,0.321309966423759,False,0.8238151677659729,False
2013-02-14,26115,2823,28938,0.0975533900062202,-0.026303260815243267,False,0.015547093357005413,False
2013-02-15,26001,2765,28766,0.09612041994020719,-0.2542648545473516,False,-0.30507987197637865,False
